Class 1A National Insurance contributions: Exemptions from  Class 1A NICs liability: Benefits and payments exempt from Class 1A  NICs by regulation: Table of benefits and payments exempt from Class  1A NICs liability
Identifier: NIM14510
Source: https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim14510
Published: 2016-04-11T17:30:00+01:00
Updated: 2023-02-28T10:24:07+00:00
Retrieved (UTC): 2026-09-18T15:20:12.984745+00:00

Section 10(9)(a) SSCBA 1992 and regulation 40 SS(C)R 2001

NIM14501  (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim14501)explains that some benefits and payments chargeable to income tax are specifically excluded from Class 1A NICs liability by regulation 40 of the SS(C)R 2001. The table below lists those benefits and payments. Before deciding whether a payment is excluded from Class 1A NICs liability you should ensure you consult the NIM guidance about the exclusion.

Benefit or payment |  Legislation – SS(C)R 2001 |  Guidance |
Removal expenses or benefits where employment at the place of employment started before 6 April 1998 |  Reg 40(4)(a) & para 2(2)(b) Part 8 Schedule 3 |  NIM06110 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim06110) |

Removal expenses not within section 271 ITEPA 2003 (before 6 April 2003 - Schedule 11A of ICTA 1988) |  Reg 40(4)(b) |  NIM06120 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim06120) |

Employer provided childcare – before 6 April 2005 |  Regulation 40(5) |  NIM16100 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim16100) |

Benefits pursuant to a retirement benefits scheme within either section 596(1) or 596(2) ICTA 1988 – Before 1 September 2003 |  Reg 40(6)(a) |  N/A |

Benefits pursuant to a pilots’ benefit fund under section 607 of ICTA 1988 – Before 6 April 2006 |  Reg 40(6)(b) |  NIM02161 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02161) |

Benefits pursuant to superannuation funds approved before 6 April 1980 or annuities or taxable pension income – Before 6 April 2006 |  Reg 40(6)(c) |  NIM02161 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02161) |

Benefits pursuant to funded unapproved retirement benefits schemes – From 6 April 2003 but before 6 April 2006 |  Reg 40(6A)(a) |  NIM02162 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02162) |

Benefits pursuant to funded unapproved retirement benefits schemes where section 390 of ITEPA 2003 applies (non-domiciled employees with foreign employer) – From 6 April 2003 but before 6 April 2006 |  Reg 40(6A)(b) |  NIM02161 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02161) |

Meal vouchers – 15 pence per working day - Before 6 April 2013 |  Reg 40(2)(za) & para 6A Part 5 Schedule 3 |  NIM05685 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim05685) \nNIM02437 (https://www.gov.uk/hmrc-internal-manuals/national-insurance-manual/nim02437) |
